iter	Passed	Remaining
902	13689	1470
903	13705	1455
904	13721	1440
905	13737	1425
906	13752	1410
907	13768	1395
908	13784	1379
909	13799	1364
910	13814	1349
911	13831	1334
912	13848	1319
913	13866	1304
914	13883	1289
915	13900	1274
916	13915	1259
917	13931	1244
918	13946	1229
919	13962	1214
920	13979	1199
921	13996	1184
922	14012	1168
923	14028	1153
924	14044	1138
925	14060	1123
926	14076	1108
927	14090	1093
928	14104	1077
929	14120	1062
930	14136	1047
931	14155	1032
932	14172	1017
933	14188	1002
934	14207	987
935	14222	972
936	14238	957
937	14252	942
938	14269	927
939	14285	911
940	14301	896
941	14317	881
942	14333	866
943	14349	851
944	14363	835
945	14380	820
946	14397	805
947	14411	790
948	14429	775
949	14444	760
950	14460	745
951	14477	729
952	14490	714
953	14506	699
954	14522	684
955	14536	669
956	14549	653
957	14567	638
958	14580	623
959	14596	608
960	14611	592
961	14626	577
962	14641	562
963	14658	547
964	14673	532
965	14686	516
966	14700	501
967	14719	486
968	14737	471
969	14753	456
970	14768	441
971	14785	425
972	14800	410
973	14817	395
974	14836	380
975	14852	365
976	14869	350
977	14884	334
978	14899	319
979	14915	304
980	14930	289
981	14945	273
982	14962	258
983	14977	243
984	14993	228
985	15008	213
986	15024	197
987	15040	182
988	15056	167
989	15072	152
990	15088	137
991	15104	121
992	15120	106
993	15136	91
994	15152	76
995	15167	60
996	15183	45
997	15198	30
998	15212	15
999	15228	0
